Symbol	Length	LTL_S1	LTL_S2	LTL_S3
RP11-94L15.2	6117	2	1	1
ZPBP2	2303	0	0	0
GSDMB	1832	119	109	175
ORMDL3	3596	1032	1348	1052
RP11-387H17.4	637	8	7	6
LRRC3C	893	2	1	1
GSDMA	2176	1	1	0
RP11-387H17.6	786	0	0	0
CSF3	1772	2	1	1
MED24	4093	834	1170	977
SNORD124	105	4	3	9
THRA	6208	541	625	720
NR1D1	2780	23	33	31
MSL1	5255	1480	2062	2142
CASC3	4130	979	1216	1172
AC068669.1	88	4	1	1
RAPGEFL1	4514	73	76	83
RNY4P8	98	2	1	5
CDC6	3084	19	24	99
CTD-2267D19.6	1454	2	2	14
RARA	3519	193	192	260
CTD-2267D19.2	1793	10	13	6
CTD-2267D19.3	2096	40	62	56
GJD3	1046	0	0	0
RNA5SP441	89	0	0	0
TOP2A	5793	201	296	1130
IGFBP4	2215	595	514	1201
TNS4	4080	0	0	0
RP5-1028K7.2	1018	0	0	0
CCR7	2512	2	1	2
AC073508.1	101	0	0	0
KRT24	1889	0	0	0
KRT223P	522	0	0	0
KRT25	1678	0	0	0
KRT27	1792	0	0	0
KRT28	1693	0	0	0
RP11-605F20.1	268	0	0	0
KRT10	2132	131	176	158
TMEM99	2272	170	196	165
RP5-1110E20.1	260	1	0	0
KRT12	1875	1	2	1
KRT20	1745	3	0	6
AC004231.2	819	0	2	2
KRT23	2371	0	0	4
KRT39	1703	0	0	0
KRT40	1981	1	1	1
KRTAP3-3	701	0	0	0
KRTAP3-2	693	0	1	0
KRTAP3-1	728	0	1	0
KRTAP1-5	1178	0	0	0
KRTAP1-4	409	0	0	0
KRTAP1-1	904	0	0	0
KRTAP2-1	777	0	0	0
KRTAP2-2	734	0	0	0
KRTAP2-3	851	0	0	0
KRTAP2-4	764	0	0	0
KRTAP4-7	939	0	0	0
KRTAP4-8	1162	0	0	0
KRTAP4-16P	709	0	0	0
KRTAP4-9	1158	0	0	0
KRTAP4-11	1175	0	0	0
KRTAP4-12	1078	0	0	0
KRTAP4-6	1056	0	0	0
KRTAP4-5	878	0	0	0
KRTAP4-4	1075	0	0	0
KRTAP4-3	942	0	0	0
KRTAP4-2	764	0	0	0
KRTAP4-1	1242	0	0	0
KRTAP9-1	772	0	0	0
KRTAP9-2	1006	0	0	0
KRTAP9-3	992	0	0	0
KRTAP9-8	961	0	0	0
KRTAP9-4	967	0	0	0
KRTAP9-9	982	0	0	0
KRTAP9-6	1304	0	0	0
KRTAP9-7	1040	0	0	0
KRTAP29-1	1027	0	0	0
KRTAP16-1	1555	0	0	0
KRTAP17-1	776	0	0	0
KRT33A	1294	0	0	0
KRT33B	1614	0	0	0
KRT34	1758	0	0	0
KRT31	1603	0	1	0
AC003958.2	4072	0	0	0
KRT37	1482	0	0	0
KRT38	2344	0	0	0
KRT32	1757	0	0	0
RNU2-32P	192	0	0	0
KRT35	1785	0	0	0
KRT36	1873	0	0	0
KRT13	2385	0	0	1
AC019349.5	478	0	0	0
KRT15	6568	9	20	8
KRT19	1396	1557	2134	1850
LINC00974	2144	2	1	2
KRT9	2295	0	0	0
KRT14	1670	0	0	0
KRT16	1652	1	1	2
KRT17	1532	5	2	7
KRT42P	2904	0	2	0
GAST	473	0	0	0
RNA5SP442	108	0	0	0
HAP1	5950	12	5	3
RN7SL399P	278	0	0	1
LEPREL4	2857	751	1010	913
NT5C3B	1430	707	675	607
RN7SL871P	266	0	0	0
KLHL10	2062	2	10	4
RP11-156E6.1	2931	344	510	409
KLHL11	2385	301	414	363
ACLY	4773	3550	3610	4423
CNP	5283	875	964	871
DNAJC7	2678	535	744	707
NKIRAS2	3306	512	785	613
ZNF385C	2969	12	41	26
CTD-2132N18.4	504	24	41	26
CTD-2132N18.2	763	39	41	30
DHX58	2631	88	139	97
KAT2A	3127	453	622	616
CTD-2132N18.3	966	0	0	0
HSPB9	617	4	3	6
RAB5C	2012	627	741	616
RP11-358B23.1	428	4	7	6
KCNH4	3941	3	4	2
HCRT	579	0	0	0
GHDC	3327	153	230	193
RP11-358B23.5	498	13	15	12
AC003104.1	856	11	12	12
STAT5A	4786	56	106	148
AC107993.1	84	0	0	0
PTRF	3830	19	4	269
RNU7-97P	63	0	0	0
MIR548AT	59	2	2	2
RP11-194N12.2	685	1	5	2
RP11-400F19.18	1737	36	48	45
MIR5010	121	6	2	7
NAGLU	2550	436	365	428
RP11-400F19.8	599	0	0	0
HSD17B1	4991	78	109	100
RP11-400F19.6	2312	45	73	52
COASY	2941	994	1116	1006
MLX	2598	270	332	295
PSMC3IP	1550	32	38	44
FAM134C	3856	1690	1889	1644
TUBG2	1772	353	391	441
PLEKHH3	3291	148	160	206
CCR10	2520	14	19	21
CTD-3193K9.4	545	4	4	8
CNTNAP1	5300	86	164	307
CTD-3193K9.3	721	5	6	8
RAMP2-AS1	3122	64	89	129
RAMP2	1091	64	98	128
VPS25	1107	813	1188	846
WNK4	4020	56	77	74
COA3	773	977	1298	780
CNTD1	3358	16	19	19
BECN1	2148	524	656	500
PSME3	4257	585	737	718
AOC2	2661	18	23	37
AOC3	4287	40	48	31
AOC4P	2074	0	2	0
LINC00671	1964	1021	961	501
RNU6-287P	99	2	3	1
G6PC	3102	101	56	24
RNY4P2	96	0	0	0
PTGES3L-AARSD1	2291	1	0	2
AARSD1	1337	1	1	3
PTGES3L	2011	5	5	7
RP11-376M2.2	1588	1	1	0
RUNDC1	3833	410	478	401
RPL27	1122	2437	4287	3355
IFI35	1358	98	138	91
VAT1	2872	2699	2677	2540
RND2	4159	106	189	92
CTD-3199J23.4	2779	0	0	0
BRCA1	7516	58	74	166
RP11-242D8.1	1194	58	123	100
NBR1	5433	2230	2690	2437
TMEM106A	3298	162	142	175
LINC00854	2056	65	53	89
LINC00910	193	34	63	36
RNU6-1137P	100	0	0	0
ARL4D	1614	31	39	29
RNU6-470P	105	0	0	0
MIR2117	81	0	0	0
RNU6-406P	108	0	0	0
RNU6-971P	107	0	0	0
DHX8	5876	809	1010	1003
ETV4	2780	16	18	36
MEOX1	2710	6	2	36
CTC-501O10.1	551	0	1	0
AC055813.1	65	0	0	0
SOST	2302	88	51	269
DUSP3	4881	2187	2185	1777
C17orf105	3759	1	2	1
RP5-905N1.2	497	0	0	0
MPP3	3180	50	62	82
CD300LG	4755	0	6	1
MPP2	5071	44	90	93
RP11-527L4.5	837	0	0	0
FAM215A	752	1	0	0
RP11-527L4.6	524	2	0	2
RP11-527L4.2	436	0	0	0
PPY	583	1	4	0
NAGS	2189	98	81	90
TMEM101	2815	466	650	520
LSM12	2734	92	100	93
G6PC3	1539	261	438	371
HDAC5	5384	679	886	841
RP11-546M21.6	362	6	12	9
RNU6-131P	108	0	0	0
C17orf53	2735	32	29	44
ASB16	2144	27	58	35
ASB16-AS1	2465	64	98	82
TMUB2	3434	652	908	733
ATXN7L3	3902	1276	1604	1445
CTB-175E5.7	530	10	18	23
UBTF	6208	1464	2201	1689
RP5-882C2.2	2014	18	24	17
AC003102.1	1435	0	0	0
RN7SL507P	295	0	1	2
AC003102.3	5410	5	16	8
RNU6-453P	87	0	0	0
RUNDC3A	2446	15	41	48
SLC25A39	1656	848	1202	907
RP5-1067M6.3	339	0	0	0
GRN	2161	3202	3629	3543
FAM171A2	3168	361	460	451
ITGA2B	3596	16	29	30
GPATCH8	5843	439	492	639
RN7SL258P	299	2	3	1
FZD2	1984	26	55	142
RP11-1072C15.2	2028	0	0	0
C17orf104	7118	26	27	23
RP11-1072C15.4	2570	2	7	9
CCDC43	2131	429	608	413
DBF4B	3086	45	71	85
RN7SL819P	268	0	0	0
ADAM11	4762	47	65	64
CTC-296K1.3	564	2	0	3
CTC-296K1.4	589	1	0	1
GJC1	8231	73	85	265
HIGD1B	826	0	7	9
EFTUD2	5467	1263	1598	1521
RN7SL405P	287	0	0	1
CCDC103	3510	0	0	0
FAM187A	3408	0	0	0
AC015936.3	506	0	0	0
KIF18B	4322	13	12	83
CTD-2534I21.8	1029	1	1	2
C1QL1	1297	1	1	9
CTD-2534I21.9	260	0	0	0
NMT1	5012	1281	1585	1459
PLCD3	6152	251	282	363
ACBD4	3043	158	227	184
HEXIM1	4786	591	632	586
AC002117.1	699	30	29	32
HEXIM2	1670	47	81	71
RP13-890H12.2	2379	27	18	24
CTD-2020K17.1	3724	12	44	17
FMNL1	4216	54	60	63
CTD-2020K17.3	2296	3	4	18
CTD-2020K17.4	1078	16	8	2
MAP3K14-AS1	3781	44	49	38
SPATA32	1932	3	10	8
RNA5SP443	133	0	0	0
CTB-39G8.2	388	0	0	0
ARHGAP27	6188	30	22	19
CTB-39G8.3	459	0	0	0
AC091132.2	95	0	0	0
AC091132.1	773	1	0	0
RN7SL730P	291	0	0	0
RP11-798G7.5	817	0	0	1
LRRC37A4P	3247	6	25	34
RN7SL739P	294	0	0	1
RP11-798G7.8	2263	0	0	1
RP11-798G7.6	632	0	0	3
RP11-798G7.7	830	1	0	5
CRHR1-IT1	2613	64	69	80
RP11-293E1.2	519	0	0	1
RP11-293E1.1	562	0	0	0
MAPT-AS1	1622	0	0	0
SPPL2C	2184	0	0	0
RP11-669E14.4	761	0	0	0
STH	446	0	0	0
RP11-669E14.6	306	5	5	12
RNU7-101P	57	0	1	1
KANSL1-AS1	978	0	1	1
RP11-259G18.1	484	2	2	2
LRRC37A	6521	0	1	0
RN7SL656P	282	0	0	0
LRRC37A2	5684	2	1	2
ARL17A	11049	0	1	1
RN7SL199P	282	0	0	0
FAM215B	2185	0	0	0
WNT3	4097	32	32	46
RP11-63A1.2	496	0	1	0
RP11-63A1.1	398	0	2	1
RNU6ATAC3P	127	1	1	0
MIR5089	85	0	0	0
RPRML	1093	1	0	1
RP11-156P1.3	1086	62	126	112
RN7SL270P	294	1	1	2
AC002558.1	91	0	0	0
RP5-867C24.4	403	3	4	8
RP5-867C24.5	675	2	9	7
MYL4	984	2	5	10
RNU7-186P	64	7	8	14
RP11-290H9.4	711	30	34	79
CTD-2026D20.2	515	13	3	16
MRPL45P2	1770	71	104	91
RP11-580I16.2	1247	15	12	24
RP11-138C9.1	268	0	0	0
TBKBP1	4130	585	802	666
TBX21	2578	1	0	0
OSBPL7	3727	213	325	299
MRPL10	2283	535	707	642
LRRC46	1930	98	129	99
SCRN2	2160	1831	1999	1448
SP6	4073	32	52	36
RP11-6N17.1	818	0	0	0
RP11-6N17.2	2928	2	2	1
RP11-6N17.4	499	32	52	19
RP11-6N17.3	338	4	6	2
PNPO	2404	198	248	204
RP11-6N17.9	583	4	8	3
RP11-6N17.6	530	0	0	0
PRR15L	1521	1064	1517	986
CDK5RAP3	2280	1502	1993	1898
RP11-6N17.10	533	4	6	8
COPZ2	902	38	57	74
MIR152	88	0	0	1
RP5-890E16.2	541	7	17	21
RP5-890E16.4	194	0	0	0
CBX1	2762	1285	1651	1515
RNU6-1201P	108	4	5	3
SNX11	2900	193	288	205
MIR1203	86	0	0	0
RNU6-1152P	108	1	1	0
AC090627.1	1565	7	4	3
RP11-433M22.1	335	3	0	1
RP11-433M22.2	703	0	2	0
HOXB1	2473	1	2	1
HOXB2	3393	137	109	95
HOXB-AS1	1566	37	42	34
HOXB-AS2	847	27	25	28
HOXB4	3759	149	331	227
MIR10A	111	0	0	0
HOXB5	2043	81	131	103
HOXB6	3856	322	644	344
HOXB7	1425	377	493	287
HOXB8	1825	100	197	109
HOXB9	2707	555	1178	549
HOXB-AS4	672	11	42	33
MIR196A1	71	4	13	8
RP11-357H14.17	1272	42	72	60
CTD-2377D24.8	621	4	27	30
CTD-2377D24.6	1438	9	47	39
PRAC1	385	0	0	0
PRAC2	1359	0	0	0
MIR3185	69	0	0	0
HOXB13	3469	1	1	0
CTD-2377D24.4	534	0	0	1
TTLL6	4046	5	6	7
RN7SL125P	293	0	1	0
RP11-463M16.4	742	9	13	11
ATP5G1	926	508	885	543
UBE2Z	3129	1085	1170	1219
SNF8	2366	541	632	595
AC091133.1	486	48	28	34
RNU1-42P	161	0	0	0
GIP	722	0	0	0
RP11-501C14.5	431	6	4	5
IGF2BP1	8674	1800	2338	2703
RP11-501C14.6	436	13	13	17
RNU6-826P	105	5	0	2
AC105030.1	86	0	0	0
B4GALNT2	2123	4	2	0
RP11-708H21.4	1353	1	0	0
GNGT2	1694	0	0	2
ABI3	2117	0	1	2
PHOSPHO1	2187	1	0	0
RP1-62O9.3	2321	0	2	0
ZNF652	6791	586	915	815
RNU7-135P	63	0	2	0
RP11-1079K10.3	604	0	2	2
RP11-81K2.1	385	0	0	0
RP11-1079K10.2	247	1	2	0
PHB	1839	1175	1648	1102
RP11-1079K10.4	965	0	0	0
RP11-1079K10.5	1757	0	0	0
RP5-1029K10.2	1224	1	0	1
RP5-1029K10.4	579	0	0	0
AC006487.1	85	0	0	0
NXPH3	2909	6	6	7
SLC35B1	1615	533	584	483
RP11-613C6.2	577	2	3	3
KAT7	4591	786	980	925
RP11-304F15.7	418	11	6	9
TAC4	680	9	12	9
RP11-304F15.3	2103	7	9	9
RP11-304F15.6	398	0	0	0
RNU6-1313P	103	0	0	0
DLX4	2721	4	5	7
DLX3	2718	0	4	9
RP11-1094H24.3	588	0	0	0
RP11-1094H24.4	2536	9	7	23
ITGA3	5028	1212	1120	2155
PDK2	4165	546	538	511
RP5-875H18.4	432	11	13	11
SAMD14	4792	84	119	188
PPP1R9B	4169	562	661	801
AC002401.1	472	3	5	9
RP11-893F2.13	549	0	1	1
RP11-893F2.14	1795	0	0	1
SGCA	2271	4	2	8
HILS1	1221	3	1	5
COL1A1	6778	511	519	5538
RP11-893F2.5	844	0	0	0
RP11-893F2.15	581	0	0	0
RP11-893F2.6	458	0	0	0
TMEM92	3106	59	27	78
RP11-893F2.9	754	2	3	4
XYLT2	3679	494	619	477
MRPL27	2812	638	785	637
EME1	2387	21	23	60
LRRC59	4156	886	1067	973
RP1-117B12.4	717	0	0	0
ACSF2	2428	441	522	567
CHAD	1804	33	48	73
RSAD1	2537	471	586	563
RP11-94C24.6	351	0	1	0
MYCBPAP	5048	13	21	19
EPN3	4433	82	90	65
RP11-94C24.8	610	2	2	3
CACNA1G-AS1	1582	3	2	6
CACNA1G	8757	11	13	90
RP11-94C24.11	158	0	0	0
CTB-22K21.2	512	0	0	0
ANKRD40	4189	644	757	747
RP11-294J22.6	672	0	0	0
LUC7L3	7125	2539	3714	3465
LINC00483	943	8	2	2
WFIKKN2	3974	1	1	0
RP11-506D12.5	459	0	0	0
TOB1	2525	291	336	288
TOB1-AS1	1977	19	23	14
RP11-700H6.4	494	1	1	0
RP11-700H6.2	791	0	0	0
NME1	1976	197	269	229
NME1-NME2	2172	16	21	25
NME2	1250	0	0	0
RP11-421E14.2	2171	24	25	33
UTP18	1908	501	617	609
RP11-1018N14.1	1729	0	0	0
RP11-1018N14.3	652	0	0	0
RP11-1018N14.4	587	0	0	0
RP11-1018N14.5	2847	0	0	0
RN7SL699P	253	0	0	0
snoZ178	91	0	0	0
AC102948.2	685	0	0	0
C17orf112	839	1	0	0
AC090079.1	93	0	0	0
KIF2B	2336	0	0	0
RN7SKP14	330	0	0	0
TOM1L1	5891	616	739	593
COX11	3285	667	916	797
CTC-462L7.1	4811	128	159	150
RP11-515O17.2	1742	4	1	3
RP11-515O17.3	1765	0	1	2
RP11-515E23.2	265	0	0	1
RP11-515E23.1	570	0	0	3
RNU6-1249P	112	0	0	0
TMEM100	2717	2	5	32
RP11-763E3.1	588	0	2	1
AC011073.1	101	0	0	0
NOG	1893	7	12	16
C17orf67	2307	3	1	9
RP11-670E13.2	619	0	0	0
RNU6-1158P	108	0	0	0
TRIM25	5743	391	499	468
RP11-670E13.5	540	0	0	0
MIR3614	87	0	0	0
COIL	2657	481	592	485
RP5-1107A17.3	551	3	4	5
SCPEP1	2014	767	953	510
RP5-1107A17.4	2357	3	1	3
AC007114.1	102	0	0	0
RNF126P1	1321	0	0	0
RP11-166P13.3	716	19	28	25
RP11-166P13.4	4282	30	33	39
RN7SL437P	292	2	3	3
RP11-118E18.2	566	2	1	6
RP11-118E18.4	1415	6	10	15
RN7SL449P	292	1	3	6
RNU7-134P	65	2	1	0
AC007431.1	833	0	1	0
RP11-60A24.3	507	4	1	5
RN7SKP94	285	0	0	0
MRPS23	1052	558	762	590
RP11-343K8.3	462	3	4	5
VEZF1	2423	751	1070	944
RP11-159D12.5	714	1	1	0
RP11-159D12.2	4724	308	509	526
SRSF1	3205	2344	3147	2896
RP11-159D12.10	6116	4	9	10
DYNLL2	6808	1565	1958	1368
OR4D1	1025	0	0	0
OR4D2	925	0	0	0
EPX	2721	20	36	34
MKS1	2555	473	685	568
LPO	3362	4	2	3
MPO	3380	0	1	189
BZRAP1	7726	1401	2399	2041
MIR142	1626	4	6	9
MIR4736	48	1	0	0
SUPT4H1	2014	793	1026	698
HSF5	4100	3	0	3
AC023992.1	92	0	0	0
MTMR4	5858	1532	1738	1650
SEPT4	2778	14	25	60
C17orf47	2125	0	0	2
RNU1-60P	158	101	223	143
RNU1-108P	162	0	0	0
RNU1-52P	165	0	0	0
RNU1-85P	165	9	32	19
RAD51C	1735	59	132	101
RNU6-518P	97	0	0	0
RP11-579O24.3	777	0	0	1
AC100832.1	88	0	0	0
RN7SL716P	265	1	1	2
AC099850.1	1340	5	8	14
SKA2	2997	340	517	450
RNU2-58P	184	1	0	0
MIR454	116	0	1	1
MIR301A	87	3	10	6
CTD-2510F5.4	323	6	5	8
SMG8	3757	501	664	520
GDPD1	2403	113	192	113
MIR4729	73	5	3	5
RP11-567L7.5	217	3	2	3
RNU4-13P	142	0	0	0
CLTC	8064	8882	11053	9834
PTRH2	4378	153	217	180
RP11-619I22.1	224	1	0	2
MIR21	73	25	24	26
RNU6-450P	108	1	7	6
TUBD1	2494	178	256	206
RPS6KB1	5554	617	784	715
RP11-178C3.1	485	0	3	2
RNFT1	2128	201	228	202
TBC1D3P1-DHX40P1	1960	0	1	0
AC005702.1	83	5	12	3
AC005702.4	83	0	1	0
AC005702.3	80	0	0	0
AC005702.2	79	0	0	0
MIR4737	82	2	1	0
HEATR6	4382	530	757	709
CTD-2319I12.2	701	2	3	3
CTD-2319I12.1	635	2	4	10
CTD-2319I12.4	790	6	9	13
CTD-2319I12.5	544	0	0	0
CA4	1162	61	91	75
C17orf64	956	0	0	1
RPL12P38	2320	1	0	3
RP11-15E18.1	723	6	15	6
RP11-15E18.4	650	0	0	0
RNU6-623P	106	1	1	1
RN7SL606P	292	1	0	2
AC079005.1	97	2	0	1
RN7SL448P	294	0	1	2
RP11-264B14.2	249	0	5	1
RP11-136H19.1	288	7	2	6
RP11-332H18.5	474	1	4	4
RP11-332H18.3	719	7	12	10
RP11-332H18.4	1212	50	68	100
TBX2	3387	413	547	727
C17orf82	1531	0	1	10
TBX4	3760	10	2	12
RP11-15K2.2	554	1	1	2
NACA2	771	9	8	3
INTS2	6184	356	549	500
RN7SL800P	250	8	7	3
AC018628.1	82	0	0	0
TBC1D3P2	2102	0	0	0
RP11-51L5.7	401	0	0	0
RP11-51L5.5	1826	0	0	0
EFCAB3	1765	0	0	0
RNU7-52P	64	0	0	0
METTL2A	2546	283	362	343
RP11-464D20.6	1709	9	6	11
MRC2	6644	397	277	1589
RNU6-446P	107	0	1	0
RP11-156L14.1	3897	1	2	0
RP11-453A12.1	1813	0	0	1
RP11-180P8.1	501	0	1	0
MIR633	99	0	0	0
RP11-180P8.3	914	12	10	7
RP11-556O9.2	482	6	6	5
RP11-269G24.2	564	3	1	5
RP11-269G24.4	554	2	2	2
CYB561	4340	419	561	385
RP11-269G24.6	357	0	1	0
ACE	7348	529	616	524
DCAF7	6359	2706	3387	3307
RNU6-288P	105	0	1	2
TACO1	1474	336	418	328
LIMD2	3716	81	161	187
STRADA	3268	45	45	45
RP11-51F16.8	2140	0	0	0
CCDC47	3737	1083	1435	1081
FTSJ3	3936	1036	1329	1107
PSMC5	2118	470	569	528
SMARCD2	2927	553	750	759
RN7SL805P	303	7	9	8
TCAM1P	3323	0	0	3
CSH2	1177	0	0	0
GH2	1148	0	0	0
CSH1	1160	0	0	0
CSHL1	1727	0	0	0
GH1	811	1	0	0
CD79B	1278	3	0	4
SCN4A	7833	2	2	5
CTC-264K15.6	505	0	0	0
RP11-214C8.2	2929	8	3	9
C17orf72	3133	23	53	45
ICAM2	1656	0	5	18
SNORD104	71	50	60	51
MILR1	636	2	0	1
POLG2	2150	160	220	197
DDX5	3510	11219	16198	14194
MIR3064	68	80	110	135
MIR5047	101	33	63	71
AC009994.2	84	3	3	6
hsa-mir-6080	2874	141	161	168
RN7SL409P	291	0	1	0
RNU7-115P	56	0	1	0
RN7SL404P	282	0	0	0
RP11-927P21.1	1361	5	11	10
RP11-927P21.2	562	6	2	2
RP11-583F2.1	603	5	3	3
RP11-927P21.11	407	2	0	0
SLC16A6P1	1048	2	2	5
RP11-583F2.2	2476	0	0	0
AMZ2P1	3430	71	119	113
RP11-583F2.5	539	19	15	10
RP11-160O5.1	667	17	25	19
AC006080.1	79	0	0	0
CTD-2535L24.3	280	0	0	0
AXIN2	4270	78	116	95
RNA5SP444	107	0	0	0
RN7SL735P	291	3	0	0
RP11-4F22.2	2651	11	2	6
RNU6-928P	105	0	1	0
RNA5SP445	116	0	0	0
AC006947.1	487	0	1	1
MIR634	98	0	0	0
RNA5SP446	83	0	0	0
RP11-349A8.3	462	0	0	0
AC005544.1	653	0	0	0
RP11-74H8.1	231	0	0	0
CACNG1	1266	2	3	2
RP11-401F2.4	382	3	9	6
RP11-401F2.3	691	12	10	5
RNA5SP447	120	0	0	0
PSMD12	4586	545	732	637
RN7SL756P	267	1	0	0
MIR548AA2	98	0	0	0
CTD-2653B5.1	614	0	1	1
NOL11	3064	1204	1508	1381
SNORA38B	132	40	51	48
AC006534.1	74	0	0	0
AC006534.2	71	2	0	0
RP11-855A2.3	711	8	5	5
RN7SL622P	272	0	0	0
C17orf58	1754	88	114	101
RP11-855A2.5	416	0	1	1
KPNA2	2909	601	701	962
AC145343.2	653	0	5	1
LINC00674	681	81	111	105
LRRC37A16P	376	28	31	35
RP11-147L13.8	2920	16	14	26
RP11-147L13.2	1311	4	9	2
AMZ2	3484	506	788	569
SLC16A6	3964	2	10	5
RP11-120M18.2	777	4	3	5
MIR635	99	20	20	14
PRKAR1A	5245	6333	8439	6641
AC079210.1	3603	27	28	25
RP11-120M18.5	387	3	1	0
RP11-118B18.1	2621	1	4	3
AC011591.1	88	0	0	0
RP11-118B18.2	520	0	0	0
ABCA8	6043	2	6	20
ABCA9-AS1	527	1	4	0
MIR4524B	116	4	2	2
ABCA5	9912	797	1076	1115
RP1-193H18.3	587	1	2	0
RP1-193H18.2	2505	90	140	111
AC003051.1	3088	0	0	0
AC002539.2	88	0	0	0
AC004562.1	670	0	0	0
LINC01028	1047	2	0	3
KCNJ16	4523	4606	5437	4639
KCNJ2-AS1	2443	5	7	10
KCNJ2	5580	24	36	90
CTD-2378E21.1	737	0	0	0
RP11-238F2.1	628	1	2	0
CASC17	2063	0	0	0
RNU7-155P	64	0	0	0
RNU6-305P	76	0	0	0
AC118653.2	563	0	0	0
AC005152.3	349	0	0	0
RP11-84E24.3	641	1	3	1
RP11-84E24.2	581	2	0	1
AC007461.1	710	1	6	2
AC005152.2	3039	8	8	23
AC007461.2	2069	3	2	7
SOX9	3938	165	168	333
RP11-1124B17.1	1837	2	2	5
RP11-57A1.1	835	3	5	11
LINC00511	2270	13	25	13
CTD-3010D24.3	891	4	3	4
RN7SKP180	331	0	2	2
AC080037.1	90	0	0	0
RP11-171G2.1	626	9	8	10
SSTR2	2268	473	266	378
COG1	3093	495	538	620
FAM104A	3103	328	414	362
C17orf80	4077	480	619	525
RP11-661C3.2	323	9	6	6
CPSF4L	1537	0	3	6
RP11-449L23.2	2278	1	2	3
RP11-449L23.3	1563	1	2	1
RP11-277J6.2	175	1	0	1
RP11-277J6.3	405	0	0	0
CTD-2532D12.4	1146	0	0	0
LINC00469	712	0	0	0
AC125421.1	2479	0	0	0
CTD-2532D12.5	586	0	0	0
CTD-2582D11.1	421	0	0	0
RPL38	1569	3427	4910	4017
CTD-2514K5.2	2524	10	11	15
CTD-2514K5.4	515	0	0	1
DNAI2	2588	3	15	13
RP11-647F2.2	653	0	0	0
AC103809.1	123	0	0	0
AC103809.2	407	0	0	0
BTBD17	1808	0	0	1
GPR142	1441	0	0	1
RNA5SP448	112	0	0	0
GPRC5C	3113	1424	1608	1244
CD300A	2294	1	11	13
CD300LB	2724	0	0	0
CD300C	1521	14	5	10
CD300LD	1307	0	0	0
C17orf77	2545	2	2	2
CTD-2006K23.1	3494	3	2	2
RAB37	4509	207	219	212
CTD-2006K23.2	525	0	0	0
CD300LF	2042	0	0	0
NAT9	2315	423	589	534
TMEM104	4917	176	225	218
GRIN2C	4684	8	8	8
FDXR	2947	109	120	98
USH1G	3564	116	98	124
OTOP2	2155	1	1	0
OTOP3	2370	0	0	1
HID1	3419	302	375	284
RP11-309N17.4	818	1	2	0
CDR2L	3541	354	343	442
ICT1	896	134	188	130
RNU6-362P	91	0	0	0
KCTD2	4355	772	1107	819
ATP5H	631	1468	1965	1369
RN7SL573P	274	12	12	14
SLC16A5	2825	345	430	477
ARMC7	2827	121	149	151
NT5C	1316	321	439	380
RP11-649A18.5	402	6	1	5
RP11-649A18.4	719	5	10	13
RP11-649A18.7	1665	22	43	35
SUMO2	1650	1733	2263	2070
NUP85	3657	447	563	656
GGA3	4325	626	780	747
MRPS7	2906	602	839	552
MIF4GD	1733	140	242	203
RP11-16C1.3	405	0	0	0
RP11-16C1.2	2791	23	12	18
RP11-16C1.1	374	2	8	3
MIR3678	95	0	1	0
RNU6-938P	104	0	0	0
KIAA0195	5510	1028	1444	1386
AC100787.1	113	0	0	0
CASKIN2	5438	518	624	543
TSEN54	1955	320	454	386
MYO15B	9503	1115	1446	1510
SMIM5	5120	88	175	85
SMIM6	1089	78	94	62
SAP30BP	3097	790	1100	876
RP11-474I11.8	354	7	9	10
RP11-474I11.7	640	8	14	10
ITGB4	6264	58	60	75
GALK1	2019	301	253	221
H3F3B	2934	9056	14148	9215
MIR4738	88	1	3	1
RP11-552F3.4	892	10	6	4
UNC13D	4546	74	85	79
WBP2	2738	568	667	604
TRIM47	2295	12	11	25
RP11-552F3.9	3176	2	2	8
TRIM65	3445	358	419	386
RP11-552F3.10	1422	20	27	26
MRPL38	2507	372	519	396
RP11-552F3.12	554	0	0	0
ACOX1	7973	1360	1376	1175
RP11-552F3.13	232	0	0	0
TEN1	998	0	0	0
TEN1-CDK3	3906	47	58	64
CDK3	1652	0	0	0
EVPL	6702	278	162	316
GALR2	1366	2	5	2
ZACN	1504	22	50	53
EXOC7	5361	2707	3302	2983
FOXJ1	2644	597	1055	665
RNF157-AS1	2293	54	51	63
UBALD2	1795	175	214	157
QRICH2	5378	113	173	146
RNU6-24P	108	0	0	0
SPHK1	3009	11	35	44
AANAT	2080	5	8	5
RHBDF2	3955	135	170	175
CYGB	2956	7	1	18
PRCD	3829	9	11	8
RP11-666A8.8	1500	6	13	12
RP11-666A8.7	572	0	3	6
RP11-666A8.12	400	3	3	2
SNHG16	152	19	14	14
SNORD1B	85	6	1	5
RP11-666A8.9	1450	10	10	19
ST6GALNAC1	2880	4	2	11
RNU6-227P	104	0	0	0
RP11-318A15.2	1718	11	19	8
MXRA7	9264	1273	1799	1413
METTL23	1519	211	283	281
RP11-318A15.7	481	0	0	0
SRSF2	2928	1582	2054	1896
MFSD11	4960	314	421	388
MIR636	100	0	0	0
RNU6-97P	105	1	1	3
CTD-2246P4.1	2272	0	3	4
LINC00868	855	1	0	0
MGAT5B	5379	1	1	3
RP11-87G24.3	772	0	0	0
RP11-87G24.6	724	0	0	0
LINC00338	188	93	235	151
RNU4-47P	115	1	0	2
